Monthly Income,Savings & Investments,Fixed Expenses,Variable Expenses,Existing Loans & Liabilities,Spending Behavior,Investment Strategy,financial stability,payment consistency,spending & budgeting discipline,financial adaptability
97398,44116,40745,9374,355833,90.37557239,11.03040638,93.83662909,99.73773252,48.54206452,46.91831454
28640,99798,7163,39250,356261,0,21.882695,100,99.3568871,0,100
104929,7585,67660,30847,64639,70.60202613,10.50204918,13.34902648,99.72528796,6.120328984,6.674513242
135416,18508,68417,20608,438705,84.78170969,4.048003884,47.92565133,99.12773321,34.25813789,23.96282566
78882,83299,75147,37585,190781,52.35288152,30.39222125,62.68730509,99.32086051,0,31.34365254
175939,44610,50176,43663,57648,75.18287588,43.62494866,72.01927941,99.29102078,46.66390056,36.0096397
167114,45067,15602,43690,144969,73.85617004,23.71498032,91.48784662,99.43697619,64.52002824,45.74392331
87617,8264,44476,41269,141449,52.89841013,5.519894732,11.56853122,99.1849798,2.13657167,5.784265611
82246,77424,74070,7433,440834,90.96247842,14.93927735,95.04048829,99.31470757,0.903387399,47.52024415
88206,69609,43904,8187,64466,90.71831848,51.91795637,100,99.14987104,40.94392672,59.93016348
133340,71435,37931,18279,495198,86.29143543,12.60692547,100,99.75744466,57.84460777,55.70908955
180792,41565,69628,28217,449574,84.39256162,8.462980948,68.870304,99.48556743,45.87979557,34.435152
65011,82363,35280,34778,338676,46.50443771,19.56184581,100,99.18447983,0,59.46378305
82055,43532,61293,16990,226994,79.29437572,16.09161411,57.64913777,99.73904118,4.596916702,28.82456889
50431,64614,27905,32956,23920,34.65130574,72.98213116,100,99.00412429,0,53.72092562
37304,71968,76596,6676,38572,82.10379584,65.10584404,69.69761956,99.84012953,0,34.84880978
42353,68737,10234,19739,240987,53.39409251,22.19298472,100,99.58820534,29.23051496,95.762992
89974,47708,10349,37653,55665,58.15124369,46.15131611,99.67323894,99.56992506,46.64903194,49.83661947
122798,81561,12314,39008,52238,68.23401033,60.95785469,100,99.81530375,58.20615971,62.31249695
185678,50686,62504,14145,204243,92.38197309,19.88239863,86.01719105,99.2055222,58.71939594,43.00859553
136790,17887,47609,26900,23077,80.3348198,43.66516942,58.60662329,99.68872887,45.53037503,29.30331165
39050,71681,14122,34088,398792,12.70678617,15.2359434,100,99.50003176,0,80.0524968
102634,16415,79860,29558,473459,71.20057681,3.35086165,9.38382992,99.37336863,0,4.69191496
165871,66649,79163,11467,171798,93.08679637,27.95128477,85.54237932,99.55131203,45.36115415,42.77118966
179654,57210,60833,20857,212247,88.39046167,21.23158797,86.37380743,99.75940805,54.5292618,43.18690371
153918,97498,15372,28492,303618,81.48884471,24.30668435,100,99.14508617,71.5017087,67.4229135
74447,71643,21414,15279,344257,79.47667468,17.22601587,100,99.25066281,50.71258748,73.4730748
101608,9922,57695,43478,20312,57.2100622,32.81735794,10.19309503,99.36643835,0.428115896,5.096547516
68188,20134,16078,8277,477915,87.86150056,4.042574124,93.80976125,99.64686129,64.28257171,46.90488062
84003,28545,61627,20659,94834,75.40683071,23.13602801,36.02490387,99.33627472,2.04397462,18.01245194
21338,90991,52808,2013,474507,90.56612616,16.09041942,100,99.25147365,0,100
98630,66027,41054,32976,125732,66.56595356,34.43228219,91.88583595,99.07651034,24.94170131,45.94291798
41443,8429,59479,30600,67684,26.16364645,11.0743237,0,99.54191259,0,0
95324,59156,39553,12050,140503,87.35890227,29.62851662,100,99.78709015,45.86567916,53.9617515
45327,31561,72956,27094,210538,40.22547268,13.03640246,0,99.05363006,0,0
176442,52875,62750,18340,372712,89.60564945,12.42401671,84.00890944,99.83226836,54.04155473,42.00445472
41593,58538,73117,39583,337332,4.832543938,14.78717761,0,99.47380157,0,0
28665,76761,33099,15440,401239,46.13640328,16.05878661,100,99.54536837,0,99.22728066
39991,36802,21228,15949,71732,60.11852667,33.90826838,99.06228902,99.65108885,7.036583231,49.53114451
80629,93048,58544,43843,309758,45.62378301,23.09995382,88.41731883,99.4820078,0,44.20865942
145177,63974,51539,27140,396579,81.30557871,13.89069228,89.87098507,99.0750808,45.80477624,44.93549254
97802,15335,42574,29240,268514,70.10286088,5.402520354,42.25169219,99.58580042,26.57205374,21.1258461
51597,22529,6931,4531,336184,91.21848169,6.280508373,100,99.53563489,77.78553017,60.72446072
161328,98112,55028,15122,265533,90.62654964,26.98015922,100,99.70847353,56.51715759,58.66619558
